Date,ZoneID,AvgTemperature,Humidity,SpecialEvent,EnergyConsumption
2025-01-18,Z5,27.09,64.58,0,673.13
2025-01-19,Z1,28.83,73.54,0,591.71
2025-01-19,Z2,28.2,63.38,0,591.43
2025-01-19,Z3,28.86,62.01,0,624.73
2025-01-19,Z4,28.39,59.38,0,609.0
2025-01-19,Z5,28.66,66.4,0,671.56
2025-01-20,Z1,28.48,77.89,0,611.79
2025-01-20,Z2,32.68,58.48,0,616.2
2025-01-20,Z3,30.33,57.41,0,633.12
2025-01-20,Z4,24.13,68.24,0,571.25
2025-01-20,Z5,29.1,68.76,0,689.73
2025-01-21,Z1,25.9,78.26,1,682.22
2025-01-21,Z2,27.97,68.51,0,578.84
2025-01-21,Z3,28.31,72.88,0,630.05
2025-01-21,Z4,28.43,67.87,1,749.2
2025-01-21,Z5,28.55,66.69,0,655.49
2025-01-22,Z1,25.5,62.66,0,560.02
2025-01-22,Z2,25.63,75.76,0,601.4
2025-01-22,Z3,32.79,62.78,0,678.93
2025-01-22,Z4,32.82,70.96,0,664.06
2025-01-22,Z5,28.16,74.29,0,691.4
2025-01-23,Z1,30.97,55.23,0,595.97
2025-01-23,Z2,28.58,67.42,0,560.08
2025-01-23,Z3,32.11,55.99,0,628.59
2025-01-23,Z4,30.45,63.14,1,716.59
2025-01-23,Z5,24.72,69.83,0,634.98
2025-01-24,Z1,28.86,60.63,0,581.93
2025-01-24,Z2,28.89,70.89,0,603.95
2025-01-24,Z3,28.06,62.86,0,599.05
2025-01-24,Z4,28.8,61.02,0,633.6
2025-01-24,Z5,24.45,70.04,0,636.52
2025-01-25,Z1,27.77,68.3,0,595.8
2025-01-25,Z2,27.93,63.39,0,601.81
2025-01-25,Z3,28.62,54.87,0,586.18
2025-01-25,Z4,24.79,74.47,0,607.48
2025-01-25,Z5,35.33,65.27,0,743.65
2025-01-26,Z1,24.41,66.53,0,530.29
2025-01-26,Z2,28.03,61.56,0,591.76
2025-01-26,Z3,31.15,69.13,0,660.52
2025-01-26,Z4,29.48,61.21,0,629.47
2025-01-26,Z5,32.49,60.57,0,667.7
2025-01-27,Z1,31.33,73.21,0,617.66
2025-01-27,Z2,29.74,63.46,0,600.04
2025-01-27,Z3,28.18,64.38,0,597.64
2025-01-27,Z4,28.39,54.09,1,729.02
2025-01-27,Z5,29.0,61.46,1,759.7
2025-01-28,Z1,30.18,61.2,0,573.2
2025-01-28,Z2,29.83,68.92,0,635.18
2025-01-28,Z3,28.11,64.07,0,592.99
2025-01-28,Z4,26.38,68.86,0,598.28
2025-01-28,Z5,31.23,58.07,0,671.35
2025-01-29,Z1,28.48,66.75,0,569.34
2025-01-29,Z2,31.31,69.22,0,644.34
2025-01-29,Z3,24.84,66.17,0,594.49
2025-01-29,Z4,29.97,67.47,0,686.28
2025-01-29,Z5,30.46,62.48,0,662.29
2025-01-30,Z1,29.3,68.42,0,611.93
2025-01-30,Z2,31.68,61.69,0,611.82
2025-01-30,Z3,32.54,59.08,0,593.87
2025-01-30,Z4,29.97,73.41,0,661.83
2025-01-30,Z5,31.58,67.88,0,690.34
2025-01-31,Z1,27.13,73.59,0,594.4
2025-01-31,Z2,32.58,67.25,0,636.79
2025-01-31,Z3,29.17,61.58,0,646.7
2025-01-31,Z4,30.89,62.37,0,668.45
2025-01-31,Z5,29.55,60.56,0,648.95
2025-02-01,Z1,29.13,70.69,0,613.88
2025-02-01,Z2,31.06,73.32,0,613.97
2025-02-01,Z3,29.21,66.64,0,643.67
2025-02-01,Z4,31.54,63.18,0,662.31
2025-02-01,Z5,35.52,58.46,0,702.04
2025-02-02,Z1,30.6,68.03,0,605.19
2025-02-02,Z2,31.26,64.99,0,597.29
2025-02-02,Z3,33.57,58.88,1,744.48
2025-02-02,Z4,31.94,75.75,0,697.52
2025-02-02,Z5,30.06,62.8,0,683.16
2025-02-03,Z1,25.88,67.97,0,575.56
2025-02-03,Z2,29.85,73.49,0,603.3
2025-02-03,Z3,30.23,64.74,0,604.91
2025-02-03,Z4,30.06,68.42,0,636.99
2025-02-03,Z5,31.56,59.45,1,768.06
2025-02-04,Z1,35.81,59.48,0,609.82
2025-02-04,Z2,32.02,62.41,0,624.05
2025-02-04,Z3,30.6,61.68,0,655.95
2025-02-04,Z4,25.35,59.26,0,576.49
2025-02-04,Z5,29.98,63.16,0,663.18
2025-02-05,Z1,31.86,67.3,0,582.98
2025-02-05,Z2,32.68,68.68,0,624.7
2025-02-05,Z3,29.35,66.14,0,624.49
2025-02-05,Z4,28.36,70.2,0,663.59
2025-02-05,Z5,28.93,67.25,0,670.96
2025-02-06,Z1,28.79,69.29,0,555.47
2025-02-06,Z2,34.48,54.32,0,608.12
2025-02-06,Z3,27.83,70.2,0,648.0
2025-02-06,Z4,26.61,59.63,1,701.21
2025-02-06,Z5,29.86,67.14,0,692.57
2025-02-07,Z1,31.02,62.3,0,619.7
2025-02-07,Z2,31.7,54.75,0,590.64
2025-02-07,Z3,30.25,58.31,0,620.62
2025-02-07,Z4,31.48,58.63,0,689.19
2025-02-07,Z5,32.52,60.13,0,690.97
2025-02-08,Z1,31.73,68.18,0,590.15
2025-02-08,Z2,32.24,61.97,0,638.0
2025-02-08,Z3,29.97,65.16,0,623.13
2025-02-08,Z4,31.62,56.21,0,656.98
2025-02-08,Z5,29.37,58.87,0,664.21
2025-02-09,Z1,27.85,77.56,1,691.81
2025-02-09,Z2,29.64,68.86,0,626.98
2025-02-09,Z3,28.32,66.66,0,606.67
2025-02-09,Z4,33.65,57.83,0,668.48
2025-02-09,Z5,30.68,74.19,0,692.91
2025-02-10,Z1,32.9,59.29,0,580.03
2025-02-10,Z2,33.35,52.84,0,635.33
2025-02-10,Z3,31.34,66.77,0,665.52
2025-02-10,Z4,31.73,67.36,0,680.89
2025-02-10,Z5,33.15,64.14,0,662.99
2025-02-11,Z1,31.5,67.59,0,609.87
2025-02-11,Z2,29.45,70.81,1,739.84
2025-02-11,Z3,31.46,61.22,0,651.81
2025-02-11,Z4,31.81,60.88,0,635.38
2025-02-11,Z5,34.17,59.52,0,695.12
2025-02-12,Z1,34.64,61.34,0,637.15
2025-02-12,Z2,32.31,55.94,0,622.08
2025-02-12,Z3,31.91,68.42,1,776.57
2025-02-12,Z4,30.38,62.07,0,597.47
2025-02-12,Z5,30.85,71.41,0,672.2
2025-02-13,Z1,33.46,60.04,0,591.65
2025-02-13,Z2,29.86,61.3,0,562.82
2025-02-13,Z3,29.46,60.19,1,729.68
2025-02-13,Z4,33.84,60.09,1,817.09
2025-02-13,Z5,30.54,70.29,0,717.35
2025-02-14,Z1,30.72,61.63,0,600.11
2025-02-14,Z2,30.75,61.77,1,706.17
2025-02-14,Z3,34.84,57.31,0,660.18
2025-02-14,Z4,31.24,60.23,0,636.32
2025-02-14,Z5,35.09,68.89,0,711.25
2025-02-15,Z1,33.28,64.43,0,636.81
2025-02-15,Z2,31.76,59.25,0,630.28
2025-02-15,Z3,30.22,60.58,0,622.72
2025-02-15,Z4,31.08,65.04,0,589.11
2025-02-15,Z5,30.38,70.65,0,691.18
2025-02-16,Z1,33.6,70.63,0,634.87
2025-02-16,Z2,32.85,66.82,0,644.85
2025-02-16,Z3,33.88,63.66,0,678.51
2025-02-16,Z4,35.3,56.45,0,684.92
2025-02-16,Z5,31.9,63.83,0,669.09
2025-02-17,Z1,33.34,63.75,0,622.26
2025-02-17,Z2,32.74,62.5,0,641.95
2025-02-17,Z3,29.65,72.82,0,647.15
2025-02-17,Z4,32.85,70.03,1,807.07
2025-02-17,Z5,29.47,66.41,0,676.75
2025-02-18,Z1,34.62,55.25,0,571.24
2025-02-18,Z2,34.4,58.2,0,634.15
2025-02-18,Z3,31.35,65.53,0,639.26
2025-02-18,Z4,28.4,70.26,0,669.32
2025-02-18,Z5,29.57,54.43,0,658.43
2025-02-19,Z1,34.56,66.05,0,654.78
2025-02-19,Z2,33.88,60.62,0,607.76
2025-02-19,Z3,35.9,63.59,0,670.27
2025-02-19,Z4,30.08,72.14,0,675.03
2025-02-19,Z5,32.53,63.82,0,683.25
2025-02-20,Z1,33.83,63.4,0,598.59
2025-02-20,Z2,33.34,67.91,0,652.36
2025-02-20,Z3,31.34,72.66,0,641.24
2025-02-20,Z4,32.67,54.38,0,661.37
2025-02-20,Z5,31.8,53.75,0,658.45
2025-02-21,Z1,31.43,75.93,0,613.37
2025-02-21,Z2,34.37,62.75,0,640.02
2025-02-21,Z3,31.66,62.02,1,729.27
2025-02-21,Z4,32.8,56.41,0,665.69
2025-02-21,Z5,36.37,54.25,0,700.19
2025-02-22,Z1,30.91,62.69,0,612.4
2025-02-22,Z2,34.16,58.38,0,621.1
2025-02-22,Z3,35.71,63.92,0,709.73
2025-02-22,Z4,33.63,63.34,0,689.31
2025-02-22,Z5,35.01,57.32,0,696.99
2025-02-23,Z1,34.91,59.1,0,643.85
2025-02-23,Z2,36.49,59.5,0,630.26
2025-02-23,Z3,31.96,66.14,0,670.5
2025-02-23,Z4,36.47,60.71,0,670.62
2025-02-23,Z5,34.14,58.35,0,694.06
2025-02-24,Z1,32.6,54.06,0,607.58
2025-02-24,Z2,34.86,50.82,0,602.49
2025-02-24,Z3,33.56,66.67,0,659.75
2025-02-24,Z4,36.68,50.16,0,662.28
2025-02-24,Z5,36.07,65.83,0,728.24
2025-02-25,Z1,31.84,64.78,0,598.47
2025-02-25,Z2,34.3,58.84,0,587.42
2025-02-25,Z3,33.69,55.54,0,646.94
2025-02-25,Z4,30.63,70.18,0,634.24
2025-02-25,Z5,32.67,51.85,0,670.15
2025-02-26,Z1,30.2,62.66,0,570.14
2025-02-26,Z2,34.35,64.88,0,669.04
2025-02-26,Z3,34.08,63.07,0,652.69
2025-02-26,Z4,34.07,59.29,0,660.14
2025-02-26,Z5,34.77,60.49,0,696.5
2025-02-27,Z1,31.34,62.71,0,605.09
2025-02-27,Z2,35.24,61.49,0,602.88
2025-02-27,Z3,39.28,51.36,0,685.05
2025-02-27,Z4,35.62,54.18,0,678.87
2025-02-27,Z5,32.1,68.26,0,690.08
2025-02-28,Z1,35.24,62.24,1,725.77
2025-02-28,Z2,37.5,62.31,0,670.81
2025-02-28,Z3,35.71,65.23,0,654.33
2025-02-28,Z4,36.76,54.38,0,688.78
2025-02-28,Z5,33.37,63.27,0,700.32
2025-03-01,Z1,36.46,61.36,0,641.5
2025-03-01,Z2,35.97,52.9,0,647.95
2025-03-01,Z3,34.86,66.59,0,666.82
2025-03-01,Z4,33.24,61.84,0,644.04
2025-03-01,Z5,30.3,60.27,0,694.0
2025-03-02,Z1,32.4,55.99,0,594.54
2025-03-02,Z2,32.27,68.17,0,665.22
2025-03-02,Z3,35.64,57.74,0,651.5
2025-03-02,Z4,33.63,55.58,0,629.58
2025-03-02,Z5,35.72,71.48,0,742.32
2025-03-03,Z1,34.91,58.83,1,724.77
2025-03-03,Z2,32.25,61.35,0,603.29
2025-03-03,Z3,31.79,68.06,0,638.1
2025-03-03,Z4,35.6,51.55,0,655.8
2025-03-03,Z5,30.59,63.74,0,668.98
2025-03-04,Z1,34.05,54.28,0,604.18
2025-03-04,Z2,31.97,70.02,0,634.27
2025-03-04,Z3,34.09,58.76,1,774.38
2025-03-04,Z4,34.61,58.97,0,682.84
2025-03-04,Z5,31.04,72.71,0,688.2
2025-03-05,Z1,35.42,63.31,0,615.99
2025-03-05,Z2,33.33,67.91,0,647.25
2025-03-05,Z3,32.36,73.76,0,641.61
2025-03-05,Z4,35.19,61.88,0,709.75
2025-03-05,Z5,37.17,50.15,0,702.99
2025-03-06,Z1,33.82,74.08,1,747.01
2025-03-06,Z2,32.45,55.37,0,572.09
2025-03-06,Z3,35.13,68.01,0,655.07
2025-03-06,Z4,32.57,59.49,0,655.63
2025-03-06,Z5,34.46,52.76,0,690.48
2025-03-07,Z1,38.31,50.83,0,603.44
2025-03-07,Z2,37.42,59.68,0,660.61
2025-03-07,Z3,32.71,57.34,0,648.93
2025-03-07,Z4,33.85,56.63,0,690.33
2025-03-07,Z5,31.64,60.69,0,646.36
2025-03-08,Z1,36.57,59.14,0,615.84
2025-03-08,Z2,34.59,57.77,0,639.51
2025-03-08,Z3,35.56,64.23,0,651.5
2025-03-08,Z4,32.36,59.12,1,752.35
2025-03-08,Z5,30.47,67.07,0,721.01
2025-03-09,Z1,31.95,67.23,0,610.67
2025-03-09,Z2,34.37,60.13,0,646.62
2025-03-09,Z3,35.41,57.06,0,652.66
2025-03-09,Z4,35.28,55.22,0,673.72
2025-03-09,Z5,34.55,59.32,0,699.0
2025-03-10,Z1,34.23,64.86,0,610.52
2025-03-10,Z2,35.33,47.04,0,618.03
2025-03-10,Z3,33.06,61.01,0,656.62
2025-03-10,Z4,34.38,51.6,0,645.35
2025-03-10,Z5,32.4,61.88,0,693.74
2025-03-11,Z1,31.77,58.39,0,599.32
2025-03-11,Z2,33.91,68.54,0,637.1
2025-03-11,Z3,33.52,59.65,0,633.29
2025-03-11,Z4,33.56,62.29,0,642.39
2025-03-11,Z5,36.16,61.33,0,757.75
2025-03-12,Z1,31.66,62.21,0,621.9
2025-03-12,Z2,33.77,65.63,0,656.62
2025-03-12,Z3,33.25,48.8,0,640.82
2025-03-12,Z4,32.81,62.74,0,645.55
2025-03-12,Z5,34.37,63.53,0,662.8
2025-03-13,Z1,38.58,50.46,0,628.73
2025-03-13,Z2,34.11,69.45,0,634.28
2025-03-13,Z3,29.9,66.52,1,736.41
2025-03-13,Z4,33.12,67.08,0,647.12
2025-03-13,Z5,33.64,60.92,0,709.4
2025-03-14,Z1,35.99,60.5,0,616.15
2025-03-14,Z2,34.85,54.2,0,628.42
2025-03-14,Z3,38.54,57.15,0,687.33
2025-03-14,Z4,33.6,57.39,0,689.56
2025-03-14,Z5,36.91,54.8,0,695.87
2025-03-15,Z1,33.69,62.72,0,600.81
2025-03-15,Z2,36.55,54.66,0,616.71
2025-03-15,Z3,33.56,62.85,0,635.64
2025-03-15,Z4,35.47,70.35,0,733.61
2025-03-15,Z5,38.16,60.57,0,738.29
2025-03-16,Z1,33.88,56.92,1,693.0
2025-03-16,Z2,32.05,54.26,0,565.96
2025-03-16,Z3,34.17,59.45,0,625.43
2025-03-16,Z4,36.44,60.08,0,696.98
2025-03-16,Z5,34.28,62.14,0,722.76
2025-03-17,Z1,34.38,65.07,0,639.84
2025-03-17,Z2,35.02,53.5,1,725.26
2025-03-17,Z3,34.49,64.58,0,676.6
2025-03-17,Z4,37.13,57.97,0,739.02
2025-03-17,Z5,36.81,48.7,0,693.43
2025-03-18,Z1,36.21,60.7,0,618.61
2025-03-18,Z2,35.66,58.09,0,641.04
2025-03-18,Z3,34.28,56.46,0,652.4
2025-03-18,Z4,31.9,66.7,0,697.53
2025-03-18,Z5,37.09,54.86,0,677.47
2025-03-19,Z1,32.53,60.2,0,584.22
2025-03-19,Z2,38.19,54.81,0,621.2
2025-03-19,Z3,37.66,65.75,0,677.73
2025-03-19,Z4,31.69,69.62,0,676.39
2025-03-19,Z5,33.07,73.0,0,704.64
2025-03-20,Z1,37.86,67.17,0,689.86
2025-03-20,Z2,36.69,55.18,0,660.46
2025-03-20,Z3,33.14,61.84,0,671.14
2025-03-20,Z4,33.48,66.26,0,694.0
2025-03-20,Z5,32.5,61.54,0,666.17
2025-03-21,Z1,34.54,62.86,0,594.75
2025-03-21,Z2,32.76,71.51,0,638.14
2025-03-21,Z3,35.34,65.4,0,667.41
2025-03-21,Z4,38.58,64.13,0,688.71
2025-03-21,Z5,32.46,59.9,0,694.94
2025-03-22,Z1,35.49,58.77,0,642.13
2025-03-22,Z2,34.45,58.7,0,641.08
2025-03-22,Z3,32.5,48.13,0,620.42
2025-03-22,Z4,34.09,46.56,0,642.6
2025-03-22,Z5,33.64,63.7,0,704.44
2025-03-23,Z1,33.73,63.04,0,618.32
2025-03-23,Z2,34.67,59.31,0,643.1
2025-03-23,Z3,34.43,56.37,0,629.73
2025-03-23,Z4,37.86,55.79,0,683.92
2025-03-23,Z5,34.85,60.66,0,677.47
2025-03-24,Z1,36.37,57.22,0,630.37
2025-03-24,Z2,35.07,63.44,0,649.4
2025-03-24,Z3,31.77,60.58,0,613.15
2025-03-24,Z4,36.03,52.3,1,821.16
2025-03-24,Z5,31.67,69.15,0,683.13
2025-03-25,Z1,33.84,64.33,0,610.37
2025-03-25,Z2,32.89,62.42,0,622.05
2025-03-25,Z3,35.23,61.67,0,701.39
2025-03-25,Z4,32.78,47.62,0,628.49
2025-03-25,Z5,38.94,64.91,0,720.66
2025-03-26,Z1,34.98,56.38,0,599.68
2025-03-26,Z2,34.82,57.03,0,644.71
2025-03-26,Z3,33.98,56.26,0,615.4
2025-03-26,Z4,35.13,58.07,0,687.42
2025-03-26,Z5,36.71,57.9,0,690.0
2025-03-27,Z1,34.95,65.24,0,640.18
2025-03-27,Z2,35.19,52.62,0,633.98
2025-03-27,Z3,37.7,63.24,0,698.79
2025-03-27,Z4,35.09,64.17,0,708.75
2025-03-27,Z5,36.27,62.9,1,807.41
2025-03-28,Z1,34.3,58.68,0,617.75
2025-03-28,Z2,36.5,57.51,0,623.71
2025-03-28,Z3,35.02,67.04,1,779.55
2025-03-28,Z4,34.88,65.86,0,719.43
2025-03-28,Z5,34.6,65.33,0,708.11
2025-03-29,Z1,34.45,69.51,0,639.11
2025-03-29,Z2,35.37,57.86,0,644.13
2025-03-29,Z3,35.59,68.45,0,688.65
2025-03-29,Z4,37.62,56.79,0,692.71
2025-03-29,Z5,30.5,62.0,0,687.9
2025-03-30,Z1,36.67,61.06,0,624.2
2025-03-30,Z2,34.17,57.52,0,587.81
2025-03-30,Z3,37.43,65.18,0,687.71
2025-03-30,Z4,37.44,57.75,0,697.75
2025-03-30,Z5,32.63,68.3,0,689.64
2025-03-31,Z1,36.05,56.41,0,636.74
2025-03-31,Z2,35.25,69.44,0,681.47
2025-03-31,Z3,32.36,66.25,0,664.77
2025-03-31,Z4,35.82,57.98,0,663.17
2025-03-31,Z5,35.3,51.18,0,639.2
2025-04-01,Z1,30.65,68.58,1,698.65
2025-04-01,Z2,33.11,60.78,0,634.9
2025-04-01,Z3,36.03,57.68,0,681.33
2025-04-01,Z4,33.95,64.35,0,672.54
2025-04-01,Z5,35.73,68.46,0,685.08
2025-04-02,Z1,34.41,52.56,0,615.96
2025-04-02,Z2,36.9,66.65,0,683.19
2025-04-02,Z3,33.7,61.72,1,743.69
2025-04-02,Z4,35.14,65.67,0,699.41
2025-04-02,Z5,37.33,59.0,0,729.45
2025-04-03,Z1,35.37,64.63,0,596.06
2025-04-03,Z2,33.62,68.75,0,639.42
2025-04-03,Z3,34.72,65.04,0,692.29
2025-04-03,Z4,38.49,51.43,0,706.48
2025-04-03,Z5,34.5,56.28,0,697.07
2025-04-04,Z1,35.28,67.12,0,648.67
2025-04-04,Z2,33.74,62.23,0,625.62
2025-04-04,Z3,30.57,63.33,0,589.88
2025-04-04,Z4,31.98,66.82,0,665.38
2025-04-04,Z5,35.0,65.42,0,699.31
2025-04-05,Z1,31.23,64.35,1,682.94
2025-04-05,Z2,34.59,55.98,0,634.05
2025-04-05,Z3,37.13,57.98,0,665.02
2025-04-05,Z4,33.67,54.44,0,621.1
2025-04-05,Z5,35.51,62.03,0,726.59
2025-04-06,Z1,33.88,61.84,0,602.44
2025-04-06,Z2,34.43,56.11,0,609.9
2025-04-06,Z3,34.35,68.25,0,661.51
2025-04-06,Z4,34.52,57.23,1,795.13
2025-04-06,Z5,37.28,63.6,0,690.77
2025-04-07,Z1,36.37,59.8,0,638.17
2025-04-07,Z2,36.22,59.07,0,633.03
2025-04-07,Z3,34.88,59.07,0,710.79
2025-04-07,Z4,33.98,51.22,0,668.94
2025-04-07,Z5,36.89,60.25,0,752.42
2025-04-08,Z1,33.44,56.84,0,579.32
2025-04-08,Z2,37.72,56.03,0,617.42
2025-04-08,Z3,33.55,52.28,0,656.35
2025-04-08,Z4,37.0,63.64,0,698.19
2025-04-08,Z5,32.5,57.67,0,666.77
2025-04-09,Z1,37.53,64.45,0,646.14
2025-04-09,Z2,33.48,67.07,0,618.34
2025-04-09,Z3,32.44,59.6,1,776.56
2025-04-09,Z4,33.99,60.78,0,650.53
2025-04-09,Z5,36.0,59.03,0,684.12
2025-04-10,Z1,34.16,51.82,1,689.84
2025-04-10,Z2,36.28,57.05,0,613.55
2025-04-10,Z3,31.91,65.73,0,606.0
2025-04-10,Z4,38.35,67.8,0,718.04
2025-04-10,Z5,37.34,52.34,0,685.95
2025-04-11,Z1,34.52,58.12,0,613.64
2025-04-11,Z2,35.85,63.96,0,618.2
2025-04-11,Z3,39.01,51.4,0,680.69
2025-04-11,Z4,36.66,68.15,0,732.1
2025-04-11,Z5,33.93,60.54,0,662.02
2025-04-12,Z1,35.31,61.02,0,659.91
2025-04-12,Z2,35.45,57.6,0,625.45
2025-04-12,Z3,36.58,57.8,1,744.76
2025-04-12,Z4,37.08,57.66,0,663.01
2025-04-12,Z5,33.14,65.06,0,680.76
2025-04-13,Z1,30.52,80.16,0,648.41
2025-04-13,Z2,34.12,62.95,1,768.72
2025-04-13,Z3,34.4,59.84,0,678.21
2025-04-13,Z4,34.39,59.94,0,695.04
2025-04-13,Z5,36.11,59.87,0,747.74
2025-04-14,Z1,34.28,65.48,0,647.21
2025-04-14,Z2,32.82,55.29,0,595.22
2025-04-14,Z3,33.39,58.93,0,662.13
2025-04-14,Z4,36.21,61.37,0,700.85
2025-04-14,Z5,33.57,64.91,0,722.05
2025-04-15,Z1,35.42,64.93,0,616.84
2025-04-15,Z2,34.67,52.13,0,588.98
2025-04-15,Z3,33.14,60.32,0,646.34
2025-04-15,Z4,35.94,56.75,0,676.61
2025-04-15,Z5,36.04,63.65,0,712.39
2025-04-16,Z1,33.26,56.75,0,584.31
2025-04-16,Z2,36.34,57.69,0,615.28
2025-04-16,Z3,34.41,60.98,0,657.74
2025-04-16,Z4,37.4,51.06,0,681.48
2025-04-16,Z5,36.69,69.25,0,706.19
2025-04-17,Z1,35.05,57.49,0,632.28
2025-04-17,Z2,35.75,60.43,0,674.28
2025-04-17,Z3,35.42,57.04,0,620.76
2025-04-17,Z4,34.58,62.1,0,661.87
2025-04-17,Z5,32.99,67.62,0,686.63
2025-04-18,Z1,34.62,65.16,0,606.6
2025-04-18,Z2,36.24,54.43,0,633.29
2025-04-18,Z3,33.03,65.61,0,645.72
2025-04-18,Z4,35.11,60.86,0,678.08
2025-04-18,Z5,36.1,58.57,0,745.57
2025-04-19,Z1,37.38,62.25,0,654.0
2025-04-19,Z2,32.9,63.05,0,630.71
2025-04-19,Z3,34.71,61.27,0,664.32
2025-04-19,Z4,33.97,58.84,0,672.22
2025-04-19,Z5,34.54,63.47,0,674.41
2025-04-20,Z1,34.06,53.91,0,572.01
2025-04-20,Z2,33.58,68.69,0,638.05
2025-04-20,Z3,35.45,57.7,0,701.06
2025-04-20,Z4,35.82,53.82,0,659.39
2025-04-20,Z5,33.65,67.73,0,720.83
2025-04-21,Z1,32.05,71.16,0,622.57
2025-04-21,Z2,34.13,56.48,0,597.75
2025-04-21,Z3,34.51,55.48,0,616.53
2025-04-21,Z4,32.16,61.75,0,608.0
2025-04-21,Z5,39.25,59.67,0,744.12
2025-04-22,Z1,34.29,70.8,0,640.22
